text,intent
मेरे खेत में पिछले साल सूरजमुखी था अब क्या बोऊं?,crop
मेरे खेत में पिछले साल अलसी था अब क्या बोऊं?,crop
मसूर की बुवाई का सही समय बताओ,crop
which crop is best for rabi season in Rajasthan?,crop
भाई म्हारे खेत में कौन सी फसल बोवां जो गर्मी में भी हो जावे?,crop
मेरे खेत में पिछले साल मसूर था अब क्या बोऊं?,crop
मेरे खेत में पिछले साल अजवाइन था अब क्या बोऊं?,crop
जौ की बुवाई का सही समय बताओ,crop
kaunsi fasal mein paani ki bachat hoti hai?,crop
भाई म्हारे खेत में कौन सी फसल बोवां जो रबी में अच्छी हो?,crop
मेरे खेत में पिछले साल सौंफ था अब क्या बोऊं?,crop
मेरे खेत में पिछले साल मेथी था अब क्या बोऊं?,crop
कपास की बुवाई का सही समय और तरीका बताओ,crop
which crop is best for crop rotation after wheat?,crop
