text,intent
मेरी प्याज की फसल में पर्पल ब्लॉच रोग है,disease
tomato ke patte curl ho rahe hain kya bimari hai?,disease
मेरे खेत में बैंगन की फसल में लिटिल लीफ रोग है,disease
wheat mein loose smut disease aa gayi hai,disease
म्हारी मूंगफली री फसल में कॉलर रॉट लाग री है,disease
मेरी उड़द की फसल में पीला मोजेक वायरस है,disease
cotton mein boll rot ho rahi hai kya karein?,disease
भाई म्हारे बाजरे में हरित बाली रोग आ गयो है,disease
मेरी मेथी में पाउडरी मिल्ड्यू हो गई है,disease
jowar mein anthracnose disease ka attack hai,disease
मेरी गाजर की फसल में पत्ती धब्बा रोग है,disease
मिर्च में एन्थ्रेक्नोज रोग के लिए कौन सी दवाई डालें?,disease
soybean mein yellow mosaic virus ho gaya hai,disease
म्हारी टमाटर री फसल में अर्ली ब्लाइट लाग री है के करूं?,disease
मेरे आलू में लेट ब्लाइट आ गई है तुरंत उपाय बताओ,disease
rice mein brown plant hopper ka attack ho gaya hai,disease
मेरी गेहूं में करनाल बंट रोग आ गया है,disease
bhindi mein yellow vein mosaic virus hai kya karein?,disease
भाई म्हारी सरसों री फसल में सफेद रतुआ लाग री है,disease
मेरी मक्का में डाउनी मिल्ड्यू रोग है,disease
tomato mein damping off ho rahi hai seedlings mar rahi hain,disease
मेरी मूंग में सर्कोस्पोरा पत्ती धब्बा रोग है,disease
cotton mein leaf curl virus ka attack hai,disease
म्हारी अरहर री फसल में स्टेरिलिटी मोजेक लाग री है,disease
मेरे बैंगन में फोमोप्सिस ब्लाइट रोग है,disease
wheat mein flag smut disease aa gayi hai,disease
मेरी मूंगफली में टिक्का रोग के लिए क्या स्प्रे करूं?,disease
chilli mein bacterial wilt ho gayi hai upay batao,disease
भाई म्हारी मक्का री फसल में पत्ती झुलसा लाग री है,disease
मेरी सोयाबीन में चारकोल रॉट रोग है,disease
onion mein purple blotch disease ka attack hai,disease
मेरी धनिया में बैक्टीरियल लीफ स्पॉट है,disease
bajra mein downy mildew disease ho gayi hai,disease
म्हारी उड़द री फसल में पत्ती मोड़क रोग लाग री है,disease
मेरे टमाटर में फ्यूजेरियम विल्ट आ गई है,disease
rice mein sheath blight disease ho gayi hai,disease
मेरी कपास में बोल वीविल का प्रकोप है,disease
mustard mein sclerotinia stem rot ho gayi hai,disease
भाई म्हारी चावल री फसल में नेक ब्लास्ट लाग री है,disease
मेरी मिर्च में फाइटोफ्थोरा ब्लाइट है क्या करूं?,disease
groundnut mein stem rot disease ka attack hai,disease
मेरी गेहूं में ब्राउन रस्ट रोग आ गया है,disease
tomato mein septoria leaf spot disease hai,disease
म्हारी बाजरा री फसल में स्मट रोग लाग री है,disease
मेरी मक्का में मेडिस लीफ ब्लाइट रोग है,disease
soybean mein pod borer ka attack ho gaya hai,disease
मेरी प्याज में डैम्पिंग ऑफ हो रही है,disease
cotton mein fusarium wilt disease aa gayi hai,disease
भाई म्हारी सरसों री फसल में अल्टरनेरिया ब्लाइट लाग री है,disease
मेरी मूंग में पाउडरी मिल्ड्यू रोग है दवाई बताओ,disease
rice mein tungro virus disease ho gayi hai,disease
मेरी अरहर में फाइटोफ्थोरा ब्लाइट है,disease
chana mein botrytis grey mold disease hai,disease
म्हारी मिर्च री फसल में लीफ कर्ल वायरस लाग री है,disease
मेरे बैंगन में जड़ गांठ सूत्रकृमि का प्रकोप है,disease
wheat mein powdery mildew disease aa gayi hai,disease
मेरी मक्का में फॉल आर्मीवर्म कीड़ा लग गया है,disease
tomato mein root knot nematode ka attack hai,disease
भाई म्हारी कपास री फसल में जड़ सड़न लाग री है,disease
मेरी सोयाबीन में फाइटोफ्थोरा रूट रॉट है,disease
bajra mein rust disease ka attack ho gaya hai,disease
मेरी मूंगफली में एस्परजिलस क्राउन रॉट है,disease
onion mein stemphylium blight disease hai,disease
म्हारी गेहूं री फसल में लूज स्मट लाग री है के करूं?,disease
मेरी मिर्च के फलों पर काले धब्बे आ गए हैं,disease
rice mein false smut disease ho gayi hai,disease
मेरी मक्का में चारकोल रॉट रोग है उपाय बताओ,disease
